Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Estonia,EST,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.179999828,6.71999979,6,,5.8,,5.6,5.6,5.7,5.4,5.33,5.3,,,,,,
Ethiopia,ETH,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,0.2,,0.2,,0.2,,,6.3,,,,,,
Fragile and conflict affected situations,FCS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
Finland,FIN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.5,,,7.199999809,,7,7,6.8,6.5,6.2,5.85,5.5,,,,,,
Fiji,FJI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,2.1,2.09,,,2.1,2.1,,,,,,,,
France,FRA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,8.100000382,8,7.900000095,7.699999809,7.5,7.2754,7.2,,7.1,6.9,6.64,6.4,,,,,,
Faroe Islands,FRO,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.8,,,,,3.3,3.31,,,3.2,,,,,,,,
Gabon,GAB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,2,,1.3,,6.3,,,,,,,
United Kingdom,GBR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.199999809,4.199999809,4.199999809,4.199999809,3.9,,,,3.4,3.3,2.98,2.9,,,,,,
Georgia,GEO,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.769999981,4.300000191,,4.199999809,,3.8,3.7,3.3,,3.1,,2.91,2.6,,,,,
Ghana,GHA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,0.9,,,,0.9,,0.9,,,,,,
Gibraltar,GIB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,0.3,,,,,,0.3,,,,,,
"Gambia, The",GMB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,0.8,,,,1.1,,1.1,,,,,,
Guinea-Bissau,GNB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,0.7,,1,,,,,,,,
Equatorial Guinea,GNQ,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,1.1,,,,2.2,,,,1.9,2.1,,,,,,,
Greece,GRC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.699999809,,,,4.7,4.7,4.8,,4.8,4.8,,,,,,,,
Grenada,GRD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,6.2,,6.9,5.699999809,,4.1,,2.6,2.6,2.4,,3.5,3.5,,,,,
Greenland,GRL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,0.5,,,0.7,,0.7,0.6,0.6,0.6,0.6,,,,,,
Guam,GUM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,2.9,,,,2.8,2.5,1.9,,2,,,,,,,,
"Hong Kong SAR, China",HKG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
Honduras,HND,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,1,,,,,,0.7,0.8,0.8,0.7,0.7,,,,,
Croatia,HRV,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,6.150000095,6,5.7,5.599999905,5.5,5.5,5.5,5.5,,5.4,5.62,5.98,5.89,5.86,5.89,,,
Haiti,HTI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.8,,,,,,,1.3,,,,,,,,,,
Hungary,HUN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,8.100000382,7.900000095,7.900000095,7.800000191,,7.9,7.9,7.1,7,7.1,7.18,7.2,,,,,,
Indonesia,IDN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,0.6,,,,,,,,0.6,,0.9,,,,,
India,IND,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,0.69,0.899999976,,0.9,,,,,,0.7,,,,,,
Ireland,IRL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.599999905,4.5,4.400000095,4.300000191,5.7,5.6,5.3,5.2,4.9,,3.15,2.9,,,,,,
"Iran, Islamic Rep.",IRN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,1.600000024,,,,1.72,1.4,,,1.7,,,0.1,,,,,
Iraq,IRQ,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,1.299999952,,1.3,,1.33,1.26,1.3,1.3,,1.3,,,,,
Iceland,ISL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,7.5,,,,5.3391,5.8,,,,,3.2,,,,,
Israel,ISR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,6.139999867,6.159999847,,6.099999905,,6.3,6,5.8,,,3.5,3.37,3.3,,,,,
Italy,ITA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.699999809,4.599999905,4.400000095,,4,4,3.9,,3.7,3.6,3.53,3.4,,,,,,
Jamaica,JAM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,1.5,1.5,1.399999976,1.8,1.7,2,1.7,,1.7,1.9,,1.7,,,,,
Jordan,JOR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,1.700000048,,1.7,1.9,1.8,,1.8,1.8,,1.8,,,,,
Japan,JPN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,14.69999981,12.9,14.39999962,14.30000019,13.9,14.1,13.98,,13.8,13.7,,,,,,,,
Kazakhstan,KAZ,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.190000057,6.96999979,7.019999981,7.699999809,7.7,7.7,7.8,7.7,7.7,7.6,,,7.2,,,,,
Kenya,KEN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,1.9,,1.4,,1.4,,,,1.4,,,,,,,
Kyrgyz Republic,KGZ,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.400000095,6.199999809,5.5,5.300000191,5.3,5.1,5.1,5.1,,,,4.79,4.8,,,,,
Cambodia,KHM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,0.6,,,0.1,,,,,,0.84,0.7,,,,,,
Kiribati,KIR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,1.5,1.51,,,,1.5,1.4,1.3,,,,,,
"Korea, Rep.",KOR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,6.099999905,6.099999905,6.6,7.099999905,8.6,,8.64,,12.3,10.3,,,,,,,,
Kuwait,KWT,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,2.200000048,,,1.9,1.9,,1.8,2,,,2.2,,,,,
Lao PDR,LAO,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,0.9,,,1.2,,,,,0.7,,1.5,,,,,
Lebanon,LBN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,3,,,,3.6,,3.43,,3.5,,,3.5,,,,,
Liberia,LBR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,0.7,0.8,,,,,,,
Libya,LBY,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,3.900000095,,3.4,,3.7,,3.7,3.7,,,3.7,,,,,
Liechtenstein,LIE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
