Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Congo, Dem. Rep.",COD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,15.955,15.531,15.052,14.554,14.055,13.573,13.12,12.694,12.295,11.926,11.588,11.278,10.988,10.712,10.446,10.187,9.934,
"Congo, Rep.",COG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.272,14.16,13.9,13.504,12.989,12.382,11.72,11.047,10.401,9.808,9.288,8.843,8.457,8.116,7.817,7.556,7.331,
Colombia,COL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.644,5.616,5.596,5.581,5.57,5.565,5.567,5.578,5.598,5.627,5.665,5.711,5.762,5.818,5.878,5.942,6.009,
Comoros,COM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.501,9.445,9.384,9.31,9.217,9.099,8.954,8.79,8.614,8.429,8.244,8.065,7.897,7.743,7.608,7.49,7.389,
Cabo Verde,CPV,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.955,5.749,5.594,5.494,5.451,5.457,5.502,5.567,5.635,5.693,5.733,5.747,5.739,5.713,5.668,5.606,5.531,
Costa Rica,CRI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.032,4.065,4.106,4.153,4.207,4.265,4.328,4.392,4.458,4.523,4.587,4.649,4.709,4.767,4.824,4.882,4.941,
Cuba,CUB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.118,7.123,7.117,7.096,7.064,7.032,7.015,7.024,7.068,7.148,7.258,7.389,7.526,7.66,7.784,7.898,8.003,
Cayman Islands,CYM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,,,,,,,,2.9,,2.9,2.8,3.2,3,3.1,2.6,2.8,,
Cyprus,CYP,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.848,6.829,6.812,6.799,6.792,6.788,6.785,6.78,6.773,6.764,6.757,6.754,6.759,6.775,6.803,6.842,6.893,
Czech Republic,CZE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.6,10.5,10.6,10.9,10.5,10.6,10.2,10.2,10.1,10.3,10.2,10.2,10.3,10.4,10,10.5,10.2,
